1,5,45,5,45,26,1,26
2,79,27,79,27,100,2,100
2,154,27,154,27,172,2,172
2,226,27,226,27,247,2,247
4,300,27,300,27,321,4,321
4,377,14,377,14,392,4,392
263,480,325,480,325,510,263,510
697,482,780,482,780,507,697,507
171,483,232,483,232,508,171,508
50,486,79,486,79,507,50,507
143,486,171,486,171,507,143,507
235,486,264,486,264,507,235,507
328,486,356,486,356,507,328,507
419,486,449,486,449,507,419,507
511,486,539,486,539,505,511,505
604,486,635,486,635,507,604,507
787,486,819,486,819,507,787,507
883,486,912,486,912,507,883,507
