20,4,33,4,33,16,20,16
20,37,33,37,33,49,20,49
22,70,33,70,33,89,22,89
22,105,33,105,33,117,22,117
20,134,33,134,33,150,20,150
5,141,17,141,17,178,5,178
21,169,33,169,33,181,21,181
20,204,33,204,33,218,20,218
20,236,33,236,33,249,20,249
20,269,33,269,33,281,20,281
89,314,104,314,104,326,89,326
352,314,372,314,372,326,352,326
372,314,392,314,392,326,372,326
401,314,421,314,421,326,401,326
102,316,122,316,122,326,102,326
156,316,169,316,169,326,156,326
169,316,189,316,189,326,169,326
222,316,237,316,237,326,222,326
236,316,256,316,256,326,236,326
289,316,302,316,302,326,289,326
302,316,322,316,322,326,302,326
420,316,441,316,441,326,420,326
209,330,269,330,269,344,209,344
