32,8,48,8,48,20,32,20
32,52,48,52,48,64,32,64
32,96,49,96,49,108,32,108
12,120,23,120,23,131,12,131
8,130,23,130,23,142,8,142
32,141,42,141,42,152,32,152
40,141,48,141,48,151,40,151
11,142,21,142,21,150,11,150
12,152,23,152,23,163,12,163
12,164,23,164,23,174,12,174
12,175,24,175,24,185,12,185
8,184,23,184,23,198,8,198
40,186,49,186,49,197,40,197
32,187,40,187,40,196,32,196
9,204,21,204,21,212,9,212
10,212,23,212,23,223,10,223
12,226,23,226,23,238,12,238
32,230,48,230,48,242,32,242
11,238,23,238,23,248,11,248
8,248,23,248,23,261,8,261
37,256,49,256,49,271,37,271
8,261,23,261,23,279,8,279
32,274,49,274,49,286,32,286
8,278,23,278,23,304,8,304
32,319,49,319,49,330,32,330
40,362,51,362,51,375,40,375
49,416,76,416,76,439,49,439
79,416,111,416,111,438,79,438
113,417,143,417,143,439,113,439
144,417,175,417,175,439,144,439
208,418,245,418,245,437,208,437
348,418,373,418,373,437,348,437
420,419,428,419,428,426,420,426
176,419,206,419,206,437,176,437
281,419,305,419,305,437,281,437
315,419,340,419,340,437,315,437
373,419,401,419,401,436,373,436
248,420,274,420,274,435,248,435
0,0,0,0,0,0,0,0
416,426,430,426,430,436,416,436
207,444,243,444,243,460,207,460
242,444,271,444,271,464,242,464
269,444,288,444,288,461,269,461
288,445,300,445,300,463,288,463
298,446,306,446,306,462,298,462
